اسم العميل,رقم الهوية,رقم الوحدة,كود الوحدة,سعر الوحدة,نسبة الانجاز من الاستشاري الهندسي,جدول الدفعات,الدفعة 1,الدفعة 2,الدفعة3,الدفعة 4,الدفعة 5,الدفعة 6,الدفعة 7,مجموع الدفعات المستحقة,مجموع الدفعات المدفوعة,البنك,تاريخ عقد البيع,POC,رقم عقد البيع,Date
طارق رمضان سيد الشافعي,6299011403,123,CPM-0000000023,4619000,0.6621,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 923,800.00","تم السداد 692,850.00","تم السداد 692,850.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2309500,البنك الأهلي المصري,23/12/2024,0.6621,CPM0023,2-Dec-24
إسلام محمود صبحي العشري,8613843053,124,CPM-0000000024,4204000,0.6209,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 840,800.00","تم السداد 630,600.00","تم السداد 630,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2102000,البنك الأهلي المصري,01/12/2024,0.6209,CPM0024,10-Dec-24
عبدالله عصام رمضان الحداد,9514019347,125,CPM-0000000025,4419000,0.6952,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 883,800.00","تم السداد 662,850.00","تم السداد 662,850.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2209500,البنك الأهلي المصري,08/12/2024,0.6952,CPM0025,10-Nov-24
زياد إسماعيل رشاد لطفي,8633987563,126,CPM-0000000026,4525000,0.6663,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 905,000.00","تم السداد 678,750.00","تم السداد 678,750.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2262500,EGBANK - البنك المصري الخليجي,21/11/2024,0.6663,CPM0026,7-Dec-24
وائل سليمان يوسف فوزي,4486574872,127,CPM-0000000027,4775000,0.67,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 955,000.00","تم السداد 716,250.00","تم السداد 716,250.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2387500,البنك الأهلي المصري,29/12/2024,0.67,CPM0027,21-Dec-24
حسن أحمد حسين عبدالحميد,4053936962,128,CPM-0000000028,4158000,0.6221,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 831,600.00","تم السداد 623,700.00","تم السداد 623,700.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2079000,البنك الأهلي المصري,17/12/2024,0.6221,CPM0028,3-Dec-24
علاء مجدي محمد النجار,1268736908,129,CPM-0000000029,4037000,0.6791,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 807,400.00","تم السداد 605,550.00","تم السداد 605,550.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2018500,البنك الأهلي المصري,04/01/2025,0.6791,CPM0029,5-Dec-24
عبدالرحمن صبري إبراهيم فوزي,2190618356,130,CPM-0000000030,4748000,0.6241,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 949,600.00","تم السداد 712,200.00","تم السداد 712,200.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2374000,البنك الأهلي المصري,03/01/2025,0.6241,CPM0030,26-Dec-24
أشرف مختار جابر شحاتة,8216881130,131,CPM-0000000031,4348000,0.6596,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 869,600.00","تم السداد 652,200.00","تم السداد 652,200.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2174000,QNB مصر,26/11/2024,0.6596,CPM0031,6-Dec-24
وليد أحمد صلاح القناوي,3164442151,132,CPM-0000000032,4189000,0.6276,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 837,800.00","تم السداد 628,350.00","تم السداد 628,350.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2094500,البنك الأهلي المصري,07/01/2025,0.6276,CPM0032,17-Dec-24
طارق فتحي مصطفى سليمان,5416986885,133,CPM-0000000033,3058000,0.6614,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 611,600.00","تم السداد 458,700.00","تم السداد 458,700.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1529000,البنك الأهلي المصري,29/11/2024,0.6614,CPM0033,2-Dec-24
شادي فاروق عادل رزق,1527102682,134,CPM-0000000034,3175000,0.6939,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 635,000.00","تم السداد 476,250.00","تم السداد 476,250.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1587500,البنك الأهلي المصري,25/12/2024,0.6939,CPM0034,5-Dec-24
خالد إسماعيل سعيد رزق,1808461619,135,CPM-0000000035,4719000,0.691,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 943,800.00","تم السداد 707,850.00","تم السداد 707,850.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2359500,البنك الأهلي المصري,18/12/2024,0.691,CPM0035,4-Dec-24
عمر علي سيد شحاتة,8259456526,136,CPM-0000000036,5260000,0.6426,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,052,000.00","تم السداد 789,000.00","تم السداد 789,000.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2630000,البنك الأهلي المصري,15/01/2025,0.6426,CPM0036,4-Dec-24
هشام جابر محمود عبدالسلام,6949038808,137,CPM-0000000037,4907000,0.6594,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 981,400.00","تم السداد 736,050.00","تم السداد 736,050.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2453500,البنك الأهلي المصري,14/01/2025,0.6594,CPM0037,17-Dec-24
ماجد أحمد علي صلاح,6776578789,138,CPM-0000000038,4213000,0.6378,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 842,600.00","تم السداد 631,950.00","تم السداد 631,950.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2106500,البنك الأهلي المصري,15/01/2025,0.6378,CPM0038,17-Jan-25
شادي حسن أحمد مراد,9912868248,139,CPM-0000000039,3313000,0.7002,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 662,600.00","تم السداد 496,950.00","تم السداد 496,950.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1656500,البنك الأهلي المصري,01/01/2025,0.7002,CPM0039,29-Dec-24
نادر أحمد سيد النجار,2011644192,140,CPM-0000000040,4882000,0.6651,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 976,400.00","تم السداد 732,300.00","تم السداد 732,300.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2441000,البنك الأهلي المصري,07/12/2024,0.6651,CPM0040,14-Jan-25
عمر سمير نبيل صبري,4491015370,141,CPM-0000000041,4306000,0.6667,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 861,200.00","تم السداد 645,900.00","تم السداد 645,900.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2153000,كريدي أجريكول مصر,15/12/2024,0.6667,CPM0041,13-Jan-25
أدهم يوسف نبيل رمضان,5789607119,142,CPM-0000000042,6947000,0.6968,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,389,400.00","تم السداد 1,042,050.00","تم السداد 1,042,050.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,3473500,البنك الأهلي المصري,22/12/2024,0.6968,CPM0042,29-Dec-24
عبدالرحمن سليمان عاطف عبدالحليم,1189031538,143,CPM-0000000043,5082000,0.6703,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,016,400.00","تم السداد 762,300.00","تم السداد 762,300.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2541000,البنك الأهلي المصري,13/12/2024,0.6703,CPM0043,1-Jan-25
ماهر مجدي يوسف الإسكندراني,4160741625,144,CPM-0000000044,4977000,0.6309,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 995,400.00","تم السداد 746,550.00","تم السداد 746,550.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2488500,البنك الأهلي المصري,26/12/2024,0.6309,CPM0044,28-Dec-24
مينا علي سليمان صادق,6621146824,145,CPM-0000000045,5110000,0.6559,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,022,000.00","تم السداد 766,500.00","تم السداد 766,500.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2555000,البنك الأهلي المصري,04/02/2025,0.6559,CPM0045,12-Jan-25
دينا عبدالرحمن فتحي عبدالمقصود,7776350000,146,CPM-0000000046,4912000,0.6947,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 982,400.00","تم السداد 736,800.00","تم السداد 736,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2456000,البنك التجاري الدولي CIB,13/01/2025,0.6947,CPM0046,22-Oct-24
نادر لطفي فاروق الزيني,5333324741,147,CPM-0000000047,4596000,0.6982,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 919,200.00","تم السداد 689,400.00","تم السداد 689,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2298000,البنك الأهلي المصري,21/01/2025,0.6982,CPM0047,4-Feb-25
هشام فتحي طارق السوهاجي,7303963366,148,CPM-0000000048,4811000,0.6285,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 962,200.00","تم السداد 721,650.00","تم السداد 721,650.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2405500,البنك الأهلي المصري,20/01/2025,0.6285,CPM0048,22-Jan-25
ياسين حسين رشاد مراد,1773565267,149,CPM-0000000049,4912000,0.6431,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 982,400.00","تم السداد 736,800.00","تم السداد 736,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2456000,كاش,29/12/2024,0.6431,CPM0049,2-Jan-25
عمر طارق يوسف صلاح,7717666657,150,CPM-0000000050,3387000,0.627,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 677,400.00","تم السداد 508,050.00","تم السداد 508,050.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1693500,البنك التجاري الدولي CIB,07/02/2025,0.627,CPM0050,4-Jan-25
عادل فؤاد عبدالله الدسوقي,6228068871,151,CPM-0000000051,4263000,0.6612,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 852,600.00","تم السداد 639,450.00","تم السداد 639,450.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2131500,البنك الأهلي المصري,30/12/2024,0.6612,CPM0051,5-Feb-25
ملك رشاد سليمان النحاس,7202420688,152,CPM-0000000052,4345000,0.6937,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 869,000.00","تم السداد 651,750.00","تم السداد 651,750.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2172500,البنك الأهلي المصري,04/02/2025,0.6937,CPM0052,23-Jan-25
علاء مصطفى مجدي رزق,6405240174,153,CPM-0000000053,4473000,0.6266,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 894,600.00","تم السداد 670,950.00","تم السداد 670,950.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2236500,البنك الأهلي المصري,29/12/2024,0.6266,CPM0053,13-Jan-25
شادي عصام فؤاد العطار,1178519421,154,CPM-0000000054,4795000,0.6573,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 959,000.00","تم السداد 719,250.00","تم السداد 719,250.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2397500,البنك الأهلي المصري,10/02/2025,0.6573,CPM0054,31-Jan-25
ماهر صبري عصام القناوي,3410548896,155,CPM-0000000055,4866000,0.6747,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 973,200.00","تم السداد 729,900.00","تم السداد 729,900.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2433000,البنك التجاري الدولي CIB,02/01/2025,0.6747,CPM0055,18-Jan-25
ياسين صبري صبحي الدسوقي,7127461587,156,CPM-0000000056,4387000,0.6557,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 877,400.00","تم السداد 658,050.00","تم السداد 658,050.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2193500,البنك التجاري الدولي CIB,23/02/2025,0.6557,CPM0056,28-Jan-25
جيهان علي جمال فوزي,7717425083,157,CPM-0000000057,5018000,0.6862,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,003,600.00","تم السداد 752,700.00","تم السداد 752,700.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2509000,البنك التجاري الدولي CIB,04/02/2025,0.6862,CPM0057,2-Feb-25
رامز حمدي إسماعيل عبدالمجيد,9032118120,158,CPM-0000000058,3352000,0.6729,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 670,400.00","تم السداد 502,800.00","تم السداد 502,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1676000,البنك التجاري الدولي CIB,12/02/2025,0.6729,CPM0058,27-Jan-25
مينا لطفي عبدالرحمن صلاح,8508660606,159,CPM-0000000059,4351000,0.6912,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 870,200.00","تم السداد 652,650.00","تم السداد 652,650.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2175500,البنك التجاري الدولي CIB,18/02/2025,0.6912,CPM0059,7-Jan-25
عمر سعيد عادل جابر,5386850640,160,CPM-0000000060,4920000,0.6222,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 984,000.00","تم السداد 738,000.00","تم السداد 738,000.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2460000,البنك التجاري الدولي CIB,25/01/2025,0.6222,CPM0060,15-Jan-25
طارق خالد سمير مبارك,6323429052,161,CPM-0000000061,5351000,0.6731,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,070,200.00","تم السداد 802,650.00","تم السداد 802,650.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2675500,البنك الأهلي المصري,01/02/2025,0.6731,CPM0061,8-Feb-25
مينا يوسف فتحي الزيات,4306837617,162,CPM-0000000062,3233000,0.6553,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 646,600.00","تم السداد 484,950.00","تم السداد 484,950.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1616500,البنك الأهلي المصري,19/01/2025,0.6553,CPM0062,21-Jan-25
أدهم جابر فاروق الرفاعي,4691435583,163,CPM-0000000063,4417000,0.5796,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 883,400.00","تم السداد 662,550.00","تم السداد 662,550.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2208500,البنك الأهلي المصري,28/01/2025,0.5796,CPM0063,18-Jan-25
ماجد فؤاد فتحي الرفاعي,9078540848,164,CPM-0000000064,3190000,0.6469,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 638,000.00","تم السداد 478,500.00","تم السداد 478,500.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1595000,البنك التجاري الدولي CIB,10/01/2025,0.6469,CPM0064,21-Feb-25
عبدالله رشاد سمير منصور,5322946693,165,CPM-0000000065,5082000,0.7011,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,016,400.00","تم السداد 762,300.00","تم السداد 762,300.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2541000,البنك الأهلي المصري,02/03/2025,0.7011,CPM0065,16-Jan-25
حسام صبري عبدالله الطنطاوي,1132707082,166,CPM-0000000066,5810000,0.7041,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,162,000.00","تم السداد 871,500.00","تم السداد 871,500.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2905000,البنك التجاري الدولي CIB,14/01/2025,0.7041,CPM0066,19-Feb-25
محمد حسين رشاد الزيني,5645886723,167,CPM-0000000067,4092000,0.6885,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 818,400.00","تم السداد 613,800.00","تم السداد 613,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2046000,البنك الأهلي المصري,27/02/2025,0.6885,CPM0067,25-Jan-25
حازم حسين حسن الطنطاوي,1105352744,168,CPM-0000000068,4499000,0.6308,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 899,800.00","تم السداد 674,850.00","تم السداد 674,850.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2249500,البنك الأهلي المصري,10/02/2025,0.6308,CPM0068,19-Feb-25
عبدالرحمن حسن حمدي حجازي,3433129857,169,CPM-0000000069,4105000,0.6681,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 821,000.00","تم السداد 615,750.00","تم السداد 615,750.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2052500,البنك التجاري الدولي CIB,15/01/2025,0.6681,CPM0069,23-Feb-25
بيشوي رمضان مجدي صبري,8962359117,170,CPM-0000000070,4320000,0.7047,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 864,000.00","تم السداد 648,000.00","تم السداد 648,000.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2160000,البنك الأهلي المصري,04/02/2025,0.7047,CPM0070,27-Feb-25
محمود صلاح خالد عبدالحليم,8674531475,171,CPM-0000000071,4653000,0.6476,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 930,600.00","تم السداد 697,950.00","تم السداد 697,950.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2326500,البنك التجاري الدولي CIB,21/02/2025,0.6476,CPM0071,22-Feb-25
حنان فتحي محمد الجمل,2512236194,172,CPM-0000000072,4210000,0.6878,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 842,000.00","تم السداد 631,500.00","تم السداد 631,500.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2105000,البنك التجاري الدولي CIB,27/02/2025,0.6878,CPM0072,5-Feb-25
يوسف رجب فاروق الوكيل,1831042866,173,CPM-0000000073,2994000,0.6341,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 598,800.00","تم السداد 449,100.00","تم السداد 449,100.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1497000,البنك الأهلي المصري,23/03/2025,0.6341,CPM0073,2-Mar-25
عمرو شوقي فتحي الدسوقي,8684053134,174,CPM-0000000074,4977000,0.6698,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 995,400.00","تم السداد 746,550.00","تم السداد 746,550.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2488500,بنك القاهرة,06/02/2025,0.6698,CPM0074,10-Mar-25
