اسم العميل,رقم الهوية,رقم الوحدة,كود الوحدة,سعر الوحدة,نسبة الانجاز من الاستشاري الهندسي,جدول الدفعات,الدفعة 1,الدفعة 2,الدفعة3,الدفعة 4,الدفعة 5,الدفعة 6,الدفعة 7,مجموع الدفعات المستحقة,مجموع الدفعات المدفوعة,البنك,تاريخ عقد البيع,POC,رقم عقد البيع,Date
عبدالرحمن سعيد صبحي عبدالمجيد,6308369792,113,ZNC-A14-0013,6575000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,315,000.00","تم السداد 1,315,000.00","تم السداد 1,315,000.00","تم السداد 986,250.00","تم السداد 986,250.00","تم السداد 328,750.00","328,750.00",328750,6246250,كاش,10-Jul-24,1,ZNC0013,16/07/2024
جورج سليمان يوسف عبدالسلام,7445172432,114,ZNC-A15-0014,6728000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,345,600.00","تم السداد 1,345,600.00","تم السداد 1,345,600.00","تم السداد 1,009,200.00","1,009,200.00","336,400.00","336,400.00",1682000,5046000,كاش,19-Jul-24,1,ZNC0014,27/07/2024
حسام عادل مجدي السمان,5200325504,115,ZNC-A01-0015,7230000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,446,000.00","تم السداد 1,446,000.00","تم السداد 1,446,000.00","تم السداد 1,084,500.00","1,084,500.00","361,500.00","361,500.00",1807500,5422500,كاش,11-Jul-24,1,ZNC0015,28/07/2024
هاجر مجدي حسن شاكر,9703418777,116,ZNC-A02-0016,6840000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,368,000.00","تم السداد 1,368,000.00","تم السداد 1,368,000.00","تم السداد 1,026,000.00","تم السداد 1,026,000.00","تم السداد 342,000.00","342,000.00",342000,6498000,كاش,25-Aug-24,1,ZNC0016,11/07/2024
نهال فؤاد جابر صادق,9746079075,117,ZNC-A03-0017,6608000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,321,600.00","تم السداد 1,321,600.00","تم السداد 1,321,600.00","تم السداد 991,200.00","تم السداد 991,200.00","تم السداد 330,400.00","330,400.00",330400,6277600,كاش,15-Aug-24,1,ZNC0017,22/08/2024
مجدي محمد طارق عبدالحميد,5767002103,118,ZNC-A04-0018,8156000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,631,200.00","1,631,200.00","1,631,200.00","1,223,400.00","1,223,400.00","407,800.00","407,800.00",6524800,1631200,كاش,10-Nov-24,1,ZNC0018,14/11/2024
تامر مصطفى طارق بدوي,7869103651,119,ZNC-A05-0019,8207000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,641,400.00","تم السداد 1,641,400.00","1,641,400.00","1,231,050.00","1,231,050.00","410,350.00","410,350.00",4924200,3282800,كاش,7-Dec-24,1,ZNC0019,04/11/2024
عبدالرحمن شوقي صبحي الحداد,6976637116,120,ZNC-A06-0020,7202000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,440,400.00","تم السداد 1,440,400.00","تم السداد 1,440,400.00","تم السداد 1,080,300.00","تم السداد 1,080,300.00","تم السداد 360,100.00","360,100.00",360100,6841900,كاش,31-Jul-24,1,ZNC0020,20/07/2024
Summary Total,,,,,,,29074800,29074800,29074800,21806100,21806100,7268700,7268700,27371300,118002700,,,,,
Paid Installments,,,,,,,29074800,27443600,25802200,19351650,12774000,3556450,0,0,118002700,,,,,
Remaining Installments,,,,,,,0,1631200,3272600,2454450,9032100,3712250,7268700,27371300,0,,,,,
